CODE,NAME,SOURCE ACRONYM,MEASURE,THEME CODE,BIG THEME
PCT14EMSPNEUF,Pessoas de 14 anos ou mais que concluiram curso técnico de nível médio  com ensino médio completo ou superior incompletam e que não estudam (Brasil e Grandes Regiões),IBGE/PNAD Contínua,(%),90,Social
PCTEMDMEPBUF,"Estudantes de especialização, mestrado e doutorado que frequentaram o ensino médio somente na rede pública (Brasil e Grandes Regiões)",IBGE/PNAD Contínua,(%),90,Social
PCTSUPMEPBUF,Estudantes do ensino superior que frequentaram o ensino médio somente na rede pública (Brasil e Grandes Regiões),IBGE/PNAD Contínua,(%),90,Social
PCTSUPTECUF,Estudantes do ensino superior em cursos de graduação tecnológica (Brasil e Grandes Regiões),IBGE/PNAD Contínua,(%),90,Social
PNADCA_NMAE25UF,Média de anos de estudo - pessoas com 25 anos ou mais ,IBGE/PNAD Contínua,Anos,90,Social
PNADCA_PCT1529NOFRUF,Jovens não ocupados e frequentando escola (Brasil e Grandes Regiões),IBGE/PNAD Contínua,(%),90,Social
PNADCA_PCT1529NONFUF,Jovens não ocupados e não frequentando escola (Brasil e Grandes Regiões),IBGE/PNAD Contínua,(%),90,Social
PNADCA_PCT1529OCFRUF,"Jovens ocupados e frequentando escola, (Brasil e Grandes Regiões)",IBGE/PNAD Contínua,(%),90,Social
PNADCA_PCT1529OCNFUF,Jovens ocupados e não frequentando escola (Brasil e Grandes Regiões),IBGE/PNAD Contínua,(%),90,Social
PNADCA_PCT25FMEUF,Pessoas que não completaram o ensino médio,IBGE/PNAD Contínua,(%),90,Social
PNADCA_PCT25MSPUF,Pessoas que não completaram o ensino superior,IBGE/PNAD Contínua,(%),90,Social
PNADCA_PCT25SFUUF,Pessoas que não completaram o ensino fundamental,IBGE/PNAD Contínua,(%),90,Social
PNADCA_PCT25SUPUF,Pessoas com o ensino superior completo,IBGE/PNAD Contínua,(%),90,Social
PNADCA_PCTEMDCDISTUF,"Estudantes de especialização, mestrado e doutorado em cursos a distância (Brasil e Grandes Regiões)",IBGE/PNAD Contínua,(%),90,Social
PNADCA_PCTRPUEUF,Estudantes na rede pública de ensino,IBGE/PNAD Contínua,(%),90,Social
PNADCA_PCTSPGCDISTUF,Estudantes do ensino superior em cursos a distância (Brasil e Grandes Regiões),IBGE/PNAD Contínua,(%),90,Social
PNADCA_TXA15MUF,Taxa de analfabetismo - pessoas com 15 anos ou mais,IBGE/PNAD Contínua,(%),90,Social
PNADCA_TXE00_05UF,Crianças de 0 a 5 anos que frequenta creche ou escola,IBGE/PNAD Contínua,(%),90,Social
PCT14CMESBUF_BRA,Porcentagem de pessoas de 14 anos ou mais de idade em curso técnico de nível médio que frequentam a modalidade subsequente - Brancos,IBGE/PNAD Contínua,(%),91,Social
PCT14CMESBUF_NEG,Porcentagem de pessoas de 14 anos ou mais de idade em curso técnico de nível médio que frequentam a modalidade subsequente - Pardos/Pretos,IBGE/PNAD Contínua,(%),91,Social
PCT14CMEUF_BRA,Estudantes do ensino médio em cursos técnicos de nível médio ou normal - Brancos,IBGE/PNAD Contínua,(%),91,Social
PCT14CMEUF_NEG,Estudantes do ensino médio em cursos técnicos de nível médio ou normal - Pardos/Pretos,IBGE/PNAD Contínua,(%),91,Social
PNADCA_NMAE25UF_BRA,Número médio de anos de estudo das pessoas com 25 anos ou mais - Brancos,IBGE/PNAD Contínua,Anos,91,Social
PNADCA_NMAE25UF_NEG,Número médio de anos de estudo das pessoas com 25 anos ou mais - Pardos/Pretos,IBGE/PNAD Contínua,Anos,91,Social
PNADCA_PCT1529NOFRUF_BRA,Jovens não ocupados e frequentando escola - Brancos,IBGE/PNAD Contínua,(%),91,Social
PNADCA_PCT1529NOFRUF_NEG,Jovens não ocupados e frequentando escola - Pardos/Pretos,IBGE/PNAD Contínua,(%),91,Social
PNADCA_PCT1529NONFUF_BRA,Jovens não ocupados e não frequentando escola - Brancos,IBGE/PNAD Contínua,(%),91,Social
PNADCA_PCT1529NONFUF_NEG,Jovens não ocupados e não frequentando escola - Pardos/Pretos,IBGE/PNAD Contínua,(%),91,Social
PNADCA_PCT1529OCFRUF_BRA,Jovens ocupados e frequentando escola - Brancos,IBGE/PNAD Contínua,(%),91,Social
PNADCA_PCT1529OCFRUF_NEG,Jovens ocupados e frequentando escola - Pardos/Pretos,IBGE/PNAD Contínua,(%),91,Social
PNADCA_PCT1529OCNFUF_BRA,Jovens ocupados e não frequentando escola - Brancos,IBGE/PNAD Contínua,(%),91,Social
PNADCA_PCT1529OCNFUF_NEG,Jovens ocupados e não frequentando escola - Pardos/Pretos,IBGE/PNAD Contínua,(%),91,Social
PNADCA_PCT25FMEUF_BRA,"Porcentagem de pessoas que completaram o ensino fundamental, mas não o médio - Brancos",IBGE/PNAD Contínua,(%),91,Social
PNADCA_PCT25FMEUF_NEG,"Porcentagem de pessoas que completaram o ensino fundamental, mas não o médio - Pardos/Pretos",IBGE/PNAD Contínua,(%),91,Social
PNADCA_PCT25MSPUF_BRA,Porcentagem de pessoas que  completaram o ensino médio  mas não o superior - Brancos,IBGE/PNAD Contínua,(%),91,Social
PNADCA_PCT25MSPUF_NEG,Porcentagem de pessoas que  completaram o ensino médio  mas não o superior - Pardos/Pretos,IBGE/PNAD Contínua,(%),91,Social
PNADCA_PCT25SFUUF_BRA,Porcentagem de pessoas que não completaram o ensino fundamental  - Brancos,IBGE/PNAD Contínua,(%),91,Social
PNADCA_PCT25SFUUF_NEG,Porcentagem de pessoas que não completaram o ensino fundamental  - Pardos/Pretos,IBGE/PNAD Contínua,(%),91,Social
PNADCA_PCT25SUPUF_BRA,Porcentagem de pessoas que completaram o ensino superior  - Brancos,IBGE/PNAD Contínua,(%),91,Social
PNADCA_PCT25SUPUF_NEG,Porcentagem de pessoas que completaram o ensino superior  - Pardos/Pretos,IBGE/PNAD Contínua,(%),91,Social
PNADCA_TXA15MUF_BRA,Taxa de analfabetismo - pessoas com 15 anos ou mais - Brancos,IBGE/PNAD Contínua,(%),91,Social
PNADCA_TXA15MUF_NEG,Taxa de analfabetismo - pessoas com 15 anos ou mais - Pardos/Pretos,IBGE/PNAD Contínua,(%),91,Social
PNADCA_TXE00_05UF_BRA,Porcentagem de crianças de 0 a 5 anos que frequenta creche ou escola - Brancos,IBGE/PNAD Contínua,(%),91,Social
PNADCA_TXE00_05UF_NEG,Porcentagem de crianças de 0 a 5 anos que frequenta creche ou escola - Pardos/Pretos,IBGE/PNAD Contínua,(%),91,Social
PNADCA_TXE06_14UF_BRA,Taxa de escolarização: 6-14 anos - Brancos,IBGE/PNAD Contínua,(%),91,Social
PNADCA_TXE06_14UF_NEG,Taxa de escolarização: 6-14 anos - Pardos/Pretos,IBGE/PNAD Contínua,(%),91,Social
PNADCA_TXE15_17UF_BRA,Taxa de escolarização: 15-17 anos - Brancos,IBGE/PNAD Contínua,(%),91,Social
PNADCA_TXE15_17UF_NEG,Taxa de escolarização: 15-17 anos - Pardos/Pretos,IBGE/PNAD Contínua,(%),91,Social
PNADCA_TXE18_24UF_BRA,Taxa de escolarização: 18-24 anos - Brancos,IBGE/PNAD Contínua,(%),91,Social
PNADCA_TXE18_24UF_NEG,Taxa de escolarização: 18-24 anos - Pardos/Pretos,IBGE/PNAD Contínua,(%),91,Social
PNADCA_TXE25_UF_BRA,Taxa de escolarização: 25 anos ou mais - Brancos,IBGE/PNAD Contínua,(%),91,Social
PNADCA_TXE25_UF_NEG,Taxa de escolarização: 25 anos ou mais - Pardos/Pretos,IBGE/PNAD Contínua,(%),91,Social
PNADCA_TXETOTUF_BRA,Taxa de escolarização da população - Brancos,IBGE/PNAD Contínua,(%),91,Social
PNADCA_TXETOTUF_NEG,Taxa de escolarização da população - Pardos/Pretos,IBGE/PNAD Contínua,(%),91,Social
PNADCA_TXFEL06_10FUF_BRA,Taxa ajustada de frequência escolar líquida: 6-14 anos no ensino Fundamental - Brancos,IBGE/PNAD Contínua,(%),91,Social
PNADCA_TXFEL06_10FUF_NEG,Taxa ajustada de frequência escolar líquida: 6-14 anos no ensino Fundamental - Pardos/Pretos,IBGE/PNAD Contínua,(%),91,Social
PNADCA_TXFEL06_14FUF_BRA,Taxa ajustada de frequência escolar líquida: 6 a 10 anos nos anos iniciais do ensino fundamental - Brancos,IBGE/PNAD Contínua,(%),91,Social
PNADCA_TXFEL06_14FUF_NEG,Taxa ajustada de frequência escolar líquida: 6 a 10 anos nos anos iniciais do ensino fundamental - Pardos/Pretos,IBGE/PNAD Contínua,(%),91,Social
PNADCA_TXFEL11_14FUF_BRA,Taxa ajustada de frequência escolar líquida: 11 a 14 anos nos anos finais do ensino fundamental - Brancos,IBGE/PNAD Contínua,(%),91,Social
PNADCA_TXFEL11_14FUF_NEG,Taxa ajustada de frequência escolar líquida: 11 a 14 anos nos anos finais do ensino fundamental - Pardos/Pretos,IBGE/PNAD Contínua,(%),91,Social
PNADCA_TXFEL15_17MUF_BRA,Taxa ajustada de frequência escolar líquida:15 a 17 anos no ensino médio - Brancos,IBGE/PNAD Contínua,(%),91,Social
PNADCA_TXFEL15_17MUF_NEG,Taxa ajustada de frequência escolar líquida:15 a 17 anos no ensino médio - Pardos/Pretos,IBGE/PNAD Contínua,(%),91,Social
PNADCA_TXFEL18_24SUF_BRA,Taxa ajustada de frequência escolar líquida: 18 a 24 no ensino superior - Brancos,IBGE/PNAD Contínua,(%),91,Social
PNADCA_TXFEL18_24SUF_NEG,Taxa ajustada de frequência escolar líquida: 18 a 24 no ensino superior - Pardos/Pretos,IBGE/PNAD Contínua,(%),91,Social
PCT14CMESBUF_HOM,Porcentagem de pessoas de 14 anos ou mais de idade em curso técnico de nível médio que frequentam a modalidade subsequente - homem ,IBGE/PNAD Contínua,(%),92,Social
PCT14CMESBUF_MUL,Porcentagem de pessoas de 14 anos ou mais de idade em curso técnico de nível médio que frequentam a modalidade subsequente - mulher ,IBGE/PNAD Contínua,(%),92,Social
PCT14CMEUF_HOM,Porcentagem de estudantes do ensino médio em cursos técnicos de nível médio ou normal - homem ,IBGE/PNAD Contínua,(%),92,Social
PCT14CMEUF_MUL,Porcentagem de estudantes do ensino médio em cursos técnicos de nível médio ou normal - mulher ,IBGE/PNAD Contínua,(%),92,Social
PCT14EMSPNEUF_HOM,Porcentagem que concluiu curso técnico de nível médio entre pessoas com 14 anos ou mais com ensino médio completo ou superior incompletam e que não estudam - homem ,IBGE/PNAD Contínua,(%),92,Social
PCT14EMSPNEUF_MUL,Porcentagem que concluiu curso técnico de nível médio entre pessoas com 14 anos ou mais com ensino médio completo ou superior incompletam e que não estudam - mulher ,IBGE/PNAD Contínua,(%),92,Social
PCTSUPTECUF_HOM,Porcentagem de estudantes do ensino superior em cursos de graduação tecnológica - homem ,IBGE/PNAD Contínua,(%),92,Social
PCTSUPTECUF_MUL,Porcentagem de estudantes do ensino superior em cursos de graduação tecnológica - mulher ,IBGE/PNAD Contínua,(%),92,Social
PNADCA_NMAE25UF_HOM,Número médio de anos de estudo das pessoas com 25 anos ou mais - homem ,IBGE/PNAD Contínua,Anos,92,Social
PNADCA_NMAE25UF_MUL,Número médio de anos de estudo das pessoas com 25 anos ou mais - mulher ,IBGE/PNAD Contínua,Anos,92,Social
PNADCA_PCT1529NOFRUF_HOM,Jovens não ocupados e frequentando escola - homem ,IBGE/PNAD Contínua,(%),92,Social
PNADCA_PCT1529NOFRUF_MUL,Jovens não ocupados e frequentando escola - mulher ,IBGE/PNAD Contínua,(%),92,Social
PNADCA_PCT1529NONFUF_HOM,Jovens não ocupados e não frequentando escola - homem ,IBGE/PNAD Contínua,(%),92,Social
PNADCA_PCT1529NONFUF_MUL,Jovens não ocupados e não frequentando escola - mulher ,IBGE/PNAD Contínua,(%),92,Social
PNADCA_PCT1529OCFRUF_HOM,Jovens ocupados e frequentando escola - homem ,IBGE/PNAD Contínua,(%),92,Social
PNADCA_PCT1529OCFRUF_MUL,Jovens ocupados e frequentando escola - mulher ,IBGE/PNAD Contínua,(%),92,Social
PNADCA_PCT1529OCNFUF_HOM,Jovens ocupados e não frequentando escola - homem ,IBGE/PNAD Contínua,(%),92,Social
PNADCA_PCT1529OCNFUF_MUL,Jovens ocupados e não frequentando escola - mulher ,IBGE/PNAD Contínua,(%),92,Social
PNADCA_PCT25FMEUF_HOM,"Porcentagem de pessoas que completaram o ensino fundamental, mas não o médio - homem ",IBGE/PNAD Contínua,(%),92,Social
PNADCA_PCT25FMEUF_MUL,"Porcentagem de pessoas que completaram o ensino fundamental, mas não o médio - mulher ",IBGE/PNAD Contínua,(%),92,Social
PNADCA_PCT25MSPUF_HOM,Porcentagem de pessoas que  completaram o ensino médio  mas não o superior - homem ,IBGE/PNAD Contínua,(%),92,Social
PNADCA_PCT25MSPUF_MUL,Porcentagem de pessoas que  completaram o ensino médio  mas não o superior - mulher ,IBGE/PNAD Contínua,(%),92,Social
PNADCA_PCT25SFUUF_HOM,Porcentagem de pessoas que não completaram o ensino fundamental  - homem ,IBGE/PNAD Contínua,(%),92,Social
PNADCA_PCT25SFUUF_MUL,Porcentagem de pessoas que não completaram o ensino fundamental  - mulher ,IBGE/PNAD Contínua,(%),92,Social
PNADCA_TXA15MUF_HOM,Taxa de analfabetismo - pessoas com 15 anos ou mais - homem ,IBGE/PNAD Contínua,(%),92,Social
PNADCA_TXA15MUF_MUL,Taxa de analfabetismo - pessoas com 15 anos ou mais - mulher ,IBGE/PNAD Contínua,(%),92,Social
PNADCA_TXE00_05UF_HOM,Porcentagem de crianças de 0 a 5 anos que frequenta creche ou escola - homem ,IBGE/PNAD Contínua,(%),92,Social
PNADCA_TXE00_05UF_MUL,Porcentagem de crianças de 0 a 5 anos que frequenta creche ou escola - mulher ,IBGE/PNAD Contínua,(%),92,Social
PNADCA_TXE06_14UF_HOM,Taxa de escolarização: 6-14 anos - homem ,IBGE/PNAD Contínua,(%),92,Social
PNADCA_TXE06_14UF_MUL,Taxa de escolarização: 6-14 anos - mulher ,IBGE/PNAD Contínua,(%),92,Social
PNADCA_TXE15_17UF_HOM,Taxa de escolarização: 15-17 anos - homem ,IBGE/PNAD Contínua,(%),92,Social
PNADCA_TXE15_17UF_MUL,Taxa de escolarização: 15-17 anos - mulher ,IBGE/PNAD Contínua,(%),92,Social
PNADCA_TXE18_24UF_HOM,Taxa de escolarização: 18-24 anos - homem ,IBGE/PNAD Contínua,(%),92,Social
PNADCA_TXE18_24UF_MUL,Taxa de escolarização: 18-24 anos - mulher ,IBGE/PNAD Contínua,(%),92,Social
PNADCA_TXE25_UF_HOM,Taxa de escolarização: 25 anos ou mais - homem ,IBGE/PNAD Contínua,(%),92,Social
PNADCA_TXE25_UF_MUL,Taxa de escolarização: 25 anos ou mais - mulher ,IBGE/PNAD Contínua,(%),92,Social
PNADCA_TXETOTUF_HOM,Taxa de escolarização da população - homem ,IBGE/PNAD Contínua,(%),92,Social
PNADCA_TXETOTUF_MUL,Taxa de escolarização da população - mulher ,IBGE/PNAD Contínua,(%),92,Social
PNADCA_TXFEL06_10FUF_HOM,Taxa ajustada de frequência escolar líquida: 6 a 10 anos nos anos iniciais do ensino fundamental - homem ,IBGE/PNAD Contínua,(%),92,Social
PNADCA_TXFEL06_10FUF_MUL,Taxa ajustada de frequência escolar líquida: 6 a 10 anos nos anos iniciais do ensino fundamental - mulher ,IBGE/PNAD Contínua,(%),92,Social
PNADCA_TXFEL06_14FUF_HOM,Taxa ajustada de frequência escolar líquida: 6-14 anos no ensino Fundamental - homem ,IBGE/PNAD Contínua,(%),92,Social
PNADCA_TXFEL06_14FUF_MUL,Taxa ajustada de frequência escolar líquida: 6-14 anos no ensino Fundamental - mulher ,IBGE/PNAD Contínua,(%),92,Social
PNADCA_TXFEL11_14FUF_HOM,Taxa ajustada de frequência escolar líquida: 11 a 14 anos nos anos finais do ensino fundamental - homem ,IBGE/PNAD Contínua,(%),92,Social
PNADCA_TXFEL11_14FUF_MUL,Taxa ajustada de frequência escolar líquida: 11 a 14 anos nos anos finais do ensino fundamental - mulher ,IBGE/PNAD Contínua,(%),92,Social
PNADCA_TXFEL15_17MUF_HOM,Taxa ajustada de frequência escolar líquida:15 a 17 anos no ensino médio - homem ,IBGE/PNAD Contínua,(%),92,Social
PNADCA_TXFEL15_17MUF_MUL,Taxa ajustada de frequência escolar líquida:15 a 17 anos no ensino médio - mulher ,IBGE/PNAD Contínua,(%),92,Social
PNADCA_TXFEL18_24SUF_HOM,Taxa ajustada de frequência escolar líquida: 18 a 24 no ensino superior - homem ,IBGE/PNAD Contínua,(%),92,Social
PNADCA_TXFEL18_24SUF_MUL,Taxa ajustada de frequência escolar líquida: 18 a 24 no ensino superior - mulher ,IBGE/PNAD Contínua,(%),92,Social
Dese_Pnad,Taxa de desemprego (IBGE/Pnad)- INATIVA,IBGE,(%),98,Social
ADH12_PRENTRAB,Renda proveniente de rendimentos do trabalho  (IBGE - Pnad Contínua/A),IPEA/Atlas do Desenvolvimento Humano,(%),102,Social
PGINI,Índice de Gini (Pnad/IBGE) - INATIVA,IPEA,-,102,Social
PNADCA_GINIUF,Índice de Gini (Pnad Contínua/A),IBGE/PNAD Contínua,-,102,Social
PNADCA_TXPIUF,Taxa de pobreza internacional (SIS/IBGE),IBGE/PNAD Contínua,(%),102,Social
PNADCA_TXPNUF,Taxa de pobreza nacional (SIS/IBGE),IBGE/PNAD Contínua,(%),102,Social
PNADCA_TXPPCC300,"Proporção de pessoas abaixo da linha de pobreza de PPC$3,00",IPEA,(%),102,Social
PNADCA_TXPPCC420,"Proporção de pessoas abaixo da linha de pobreza de PPC$4,20",IPEA,(%),102,Social
PNADCA_TXPPCC830,"Proporção de pessoas abaixo da linha de pobreza de PPC$8,30",IPEA,(%),102,Social
SIS_RDPC40,Rendimento domiciliar per capita (Distribuição) - 40% mais pobres (SIS/IBGE),SIS-IBGE,(%),102,Social
SIS_RDPC90,Rendimento domiciliar per capita (Distribuição) - 10% mais ricos (SIS/IBGE),SIS-IBGE,(%),102,Social
SIS_RDPCMEDIANO,Rendimento domiciliar per capita mediano (SIS/IBGE),SIS-IBGE,R$ médio do ano,102,Social
SIS_RDPCMEDIO,Rendimento domiciliar per capita médio (SIS/IBGE),SIS-IBGE,R$ médio do ano,102,Social
ANS_BNFPLSAUDEUF,Beneficiários de plano de saúde (ANS),ANS,-,106,Social
SIS_ESTABDTSUSUF,Número de estabelecimentos de diagnose e terapia pelo SUS,DATASUS,-,106,Social
SIS_ESTABINTSUSUF,Número de estabelecimentos de internação pelo SUS,DATASUS,-,106,Social
SIS_ESTABSAUDEUF,Número de estabelecimentos de saúde,DATASUS,-,106,Social
SIS_ESTABURGSUSUF,Número de estabelecimentos de urgência pelo SUS,DATASUS,-,106,Social
SIS_ESTATAMBUF,Número de estabelecimentos de atendimento ambulatorial pelo SUS,DATASUS,-,106,Social
SIS_ESTDIAGTERUF,Número de estabelecimentos de diagnose e terapia,DATASUS,-,106,Social
SIS_ESTTMGCPTSUSUF,Número de estabelecimentos com tomógrafo computadorizado pelo SUS - INATIVA,DATASUS,-,106,Social
SIS_HOSPDIAUF,Número de hospitais do tipo dia,DATASUS,-,106,Social
SIS_HOSPESPECUF,Número de hospitais especializados,DATASUS,-,106,Social
SIS_HOSPGERUF,Número de hospitais do tipo geral,DATASUS,-,106,Social
SIS_NMENF1000HUF,Enfermeiros por 10.000 habitantes,DATASUS,-,106,Social
SIS_NMLTCMP1000HUF,Número de leitos complementares (UTI e unidade intermediária) por 10.000 habitantes,DATASUS,-,106,Social
SIS_NMLTCMPINF1000UF,"Número de leitos complementares infantis (pediátricos + neonatal, UTI e Unidade Intermediária) por 10.000 habitantes",DATASUS,-,106,Social
SIS_NMLTCMPINFSUS1000UF,"Número de leitos complementares infantis (pediátricos + neonatal, UTI e Unidade Intermediária) pelo SUS por 10.000 habitantes",DATASUS,-,106,Social
SIS_NMLTCMPSUS1000HUF,Número de leitos complementares pelo SUS (UTI e unidade intermediária) por 10.000 habitantes,DATASUS,-,106,Social
SIS_NMLTINT1000HUF,Número de leitos para internação por 10.000 habitantes,DATASUS,-,106,Social
SIS_NMLTINTSUS1000HUF,Número de leitos para internação pelo SUS por 10.000 habitantes,DATASUS,-,106,Social
SIS_NMLTINTUF,Número de leitos para internação,DATASUS,-,106,Social
SIS_NMODN1000HUF,Dentistas por 10.000 habitantes,DATASUS,-,106,Social
SIS_NMTEC1000HUF,Auxiliares e técnicos de saúde por 10.000 habitantes,DATASUS,-,106,Social
SUS_NMMED10MHUF,Médicos por 10.000 habitantes (proj. pop. 2024),SIS-IBGE,-,106,Social
PNADCA_NMAE25UF_2539,Número médio de anos de estudo das pessoas com 25 a 39 anos,IBGE/PNAD Contínua,Anos,107,Social
PNADCA_NMAE25UF_4059,Número médio de anos de estudo das pessoas com 40 a 59 anos,IBGE/PNAD Contínua,Anos,107,Social
PNADCA_NMAE25UF_60M,Número médio de anos de estudo das pessoas com 60 anos ou mais,IBGE/PNAD Contínua,Anos,107,Social
PNADCA_PCT1529NOFRUF_1517,Jovens não ocupados e frequentando escola :15 a 17 anos (Brasil e Grandes Regiões),IBGE/PNAD Contínua,(%),107,Social
PNADCA_PCT1529NOFRUF_1824,Jovens não ocupados e frequentando escola :18 a 24 anos (Brasil e Grandes Regiões),IBGE/PNAD Contínua,(%),107,Social
PNADCA_PCT1529NOFRUF_2529,Jovens não ocupados e frequentando escola :25 a 29 anos (Brasil e Grandes Regiões),IBGE/PNAD Contínua,(%),107,Social
PNADCA_PCT1529NONFUF_1517,Jovens não ocupados e não frequentando escola :15 a 17 anos (Brasil e Grandes Regiões),IBGE/PNAD Contínua,(%),107,Social
PNADCA_PCT1529NONFUF_1824,Jovens não ocupados e não frequentando escola :18 a 24 anos (Brasil e Grandes Regiões),IBGE/PNAD Contínua,(%),107,Social
PNADCA_PCT1529NONFUF_2529,Jovens não ocupados e não frequentando escola :25 a 29 anos (Brasil e Grandes Regiões),IBGE/PNAD Contínua,(%),107,Social
PNADCA_PCT1529OCFRUF_1517,Jovens ocupados e frequentando escola :15 a 17 anos (Brasil e Grandes Regiões),IBGE/PNAD Contínua,(%),107,Social
PNADCA_PCT1529OCFRUF_1824,Jovens ocupados e frequentando escola :18 a 24 anos (Brasil e Grandes Regiões),IBGE/PNAD Contínua,(%),107,Social
PNADCA_PCT1529OCFRUF_2529,Jovens ocupados e frequentando escola :25 a 29 anos (Brasil e Grandes Regiões),IBGE/PNAD Contínua,(%),107,Social
PNADCA_PCT1529OCNFUF_1517,Jovens ocupados e não frequentando escola :15 a 17 anos (Brasil e Grandes Regiões),IBGE/PNAD Contínua,(%),107,Social
PNADCA_PCT1529OCNFUF_1824,Jovens ocupados e não frequentando escola :18 a 24 anos (Brasil e Grandes Regiões),IBGE/PNAD Contínua,(%),107,Social
PNADCA_PCT1529OCNFUF_2529,Jovens ocupados e não frequentando escola :25 a 29 anos (Brasil e Grandes Regiões),IBGE/PNAD Contínua,(%),107,Social
PNADCA_TXA15MUF_15M,Taxa de analfabetismo - pessoas com 15 anos ou mais,IBGE/PNAD Contínua,(%),107,Social
PNADCA_TXA15MUF_18M,Taxa de analfabetismo - pessoas com 18 anos ou mais,IBGE/PNAD Contínua,(%),107,Social
PNADCA_TXA15MUF_25M,Taxa de analfabetismo - pessoas com 25 anos ou mais,IBGE/PNAD Contínua,(%),107,Social
PNADCA_TXA15MUF_40M,Taxa de analfabetismo - pessoas com 40 anos ou mais,IBGE/PNAD Contínua,(%),107,Social
PNADCA_TXA15MUF_60M,Taxa de analfabetismo - pessoas com 60 anos ou mais,IBGE/PNAD Contínua,(%),107,Social
PNADCA_TXE06_14UF,Taxa de escolarização: 6-14 anos,IBGE/PNAD Contínua,(%),107,Social
PNADCA_TXE15_17UF,Taxa de escolarização: 15-17 anos,IBGE/PNAD Contínua,(%),107,Social
PNADCA_TXE18_24UF,Taxa de escolarização: 18-24 anos,IBGE/PNAD Contínua,(%),107,Social
PNADCA_TXE25_UF,Taxa de escolarização: 25 anos ou mais,IBGE/PNAD Contínua,(%),107,Social
PNADCA_TXETOTUF,Taxa de escolarização da população,IBGE/PNAD Contínua,(%),107,Social
PNADCA_TXFEL06_10FUF,Taxa ajustada de frequência escolar líquida: 6 a 10 anos nos anos iniciais do ensino fundamental,IBGE/PNAD Contínua,(%),107,Social
PNADCA_TXFEL06_14FUF,Taxa ajustada de frequência escolar líquida: 6-14 anos no ensino Fundamental,IBGE/PNAD Contínua,(%),107,Social
PNADCA_TXFEL11_14FUF,Taxa ajustada de frequência escolar líquida: 11 a 14 anos nos anos finais do ensino fundamental,IBGE/PNAD Contínua,(%),107,Social
PNADCA_TXFEL15_17MUF,Taxa ajustada de frequência escolar líquida:15 a 17 anos no ensino médio,IBGE/PNAD Contínua,(%),107,Social
PNADCA_TXFEL18_24SUF,Taxa ajustada de frequência escolar líquida: 18 a 24 no ensino superior,IBGE/PNAD Contínua,(%),107,Social
AVS_IVS,IVS - Índice de Vulnerabilidade Social,IPEA / Atlas da Vulnerabilidade Social,-,115,Social
AVS_IVSCH,IVS - subíndice de Capital Humano,IPEA / Atlas da Vulnerabilidade Social,-,115,Social
AVS_IVSIU,IVS - subíndice de Infraestrutura Urbana,IPEA / Atlas da Vulnerabilidade Social,-,115,Social
AVS_IVSRT,IVS - subíndice de Renda e Trabalho,IPEA / Atlas da Vulnerabilidade Social,-,115,Social
