CGC_HOSP,RAZAO,UF_ZI,CMPT
06553564004710,HOSP COLONIA DO CARPINA,22,200801
06553564005288,HOSPITAL LOCAL DR JOSE DE BRITO MAGALHAES,22,201505
06553564005520,PIAUI SECRETARIA DE SAUDEMOCAMBINHO,22,201505
06553564005873,UNID MISTA DR HELVIDIO NUNES,22,200801
06553564006683,UMS D AUGUSTA ARCOVERDE,22,200903
06553564006845,UMS PEDRO LOPES,22,201505
06553564006926,UNID MISTA DE AROAZES,22,201409
06553564007574,UNID MISTA DE ITAINOPOLIS,22,201411
06553564008546,UMS DE PARNAGUA,22,201505
06553564009518,UNIDADE MISTA DE SAUDE DE AVELINO LOPES,22,201505
06553564009860,HOSPITAL AREOLINO DE ABREU,22,201505
06553564009941,HOSPITAL INFANTIL LUCIDIO PORTELLA,22,201505
06553564010281,HOSPITAL REGIONAL JUSTINO LUZ,22,201504
06553564010362,HOSPITAL REGIONAL TIBERIO NUNES,22,201505
06553564010443,HOSPITAL GETULIO VARGAS,22,201505
06553564010605,PIAUI SECRETARIA DE SAUDE,22,201505
06553564010796,INSTITUTO DE DOENCAS TROPICAIS NATAN PORTELLA,22,201505
06553564011334,UMS DE ELIZEU MARTINS,22,200806
06553564015593,PIAUI SECRETARIA DE SAUDE,22,201505
06553846000216,SAO JULIAO PREFEITURA,22,201504
06553887001101,SAO RAIMUNDO MATERNIDADE MUNICIPAL,22,201505
06553929000710,SMS DE PEDRO II,22,201505
06553986000294,HOSPITAL MUNICIPAL JOAQUINA MARQUES,22,200801
06554117000284,LANDRE SALES,22,200801
06554166000136,RIO GRANDE DO PIAUI PREFEITURA,22,201102
06554364000108,UMS DE CRISTINO CASTRO,22,201505
06554448000990,SECRETARIA MUNICIPAL DE SAUDE DE LUIZ CORREIA,22,201505
06554455000216,PREFEITURA MUNICIPAL DE BURITI DOS LOPES,22,200801
06554794000898,INST DE SAUDE JOSE GIL BARBOSA,22,201505
06555031000195,HOSPITAL SAMIU LTDA,22,200801
06578611000106,ASSOCIACAO BENEFICENTE MEDICA DE PAJUCARA,23,201505
06580328000100,SOC HOSPITALAR PADRE DIONISIO,23,201408
06600100000135,CASA DE SAUDE DR SEBASTIAO MARTINS LTDA,22,200801
06618011000116,ASS BENEF ASSIST MED HOSP E AMPARO SOCIAL,22,201503
06701254000113,CASA DE SAUDE E MAT N S DE FATIMA LTDA,22,201505
06705990000140,SOCIEDADE DE PROTECAO A MATERNIDADE E A INFANCIA DE PARNAIBA,22,201505
06706246000160,SANTA CASA DE MISERICORDIA DE PHB,22,201505
06707814000147,HOSPITAL GERAL DE PICOS LTDA,22,200801
06714315000187,JOSE SOLON DE SOUSA,22,200801
06734248000162,JOSE SOARES FILHO CLINICA INFANTIL DE PICOS,22,201504
06738025000173,SOC PROMOCAO ASSIST A FAMILIA,23,201505
06738876000116,POLICLINICA PAZ LTDA,22,201505
06740328000120,SOC MEDICO CIR EMPRESARIAL LTDA,23,201505
06745954000290,SOCIEDADE DE ASSISTENCIA A MATERNIDADE E A INFANCIA DE CEDRO,23,201410
06746713000266,HOSPITAL SAO RAIMUNDO FUNDACAO LEANDRO BEZERRA DE MENEZES,23,201505
06748420000137,SOC CIVIL CASA DA MAE POBRE,23,200801
06768485000144,HOSPITAL SEPAM LTDA,22,200801
06769798000206,PREFEITURA MUNICIPAL DE BARRA DO CORDA,21,201505
06769798000389,PREFEITURA MUNICIPAL DE BARRA DO CORDA,21,201505
06777817000157,CENTRO COMUNITARIO CATOLICO DO ANJO DA GUARDA,21,200801
06787173000188,HOSPITAL E CLINICAS SK STECKELBERG LTDA,53,200801
06795116000140,CLINICA SANTA EDWIGES LTDA,22,201505
06833917000153,CASA DE SAUDE E MATERNIDADE TERESINA LTDA,22,201504
06842470000189,SOCIEDADE DE PROTECAO A MAT E A INFANCIA,22,201505
06846547000199,SANATORIO MEDUNA LTDA,22,200801
06852636000148,CLINICA DE ACIDENTADOS SAO LUCAS LTDA,22,201505
06860506000238,UMS NOSSA SENHORA DO PERPETUO SOCORRO,22,200801
06866078000170,ASSOCIACAO DE PROMOCAO DE SAUDE DO SUDOESTE DO PARANA,41,200801
06870026000177,ASSOCIACAO PIAUIENSE DE COMBATE AO CANCER,22,201505
06873111000199,HOSPITAL SANTA MARIA LTDA,22,200801
06906162000170,SSP RJ HOSPITAL CENTRAL DA POLICIA MILITAR,33,200801
06943723000100,HOSPITAL VITA BATEL SA,41,201308
06958776000103,HOESP ASSOCIACAO BENEFICENTE DE SAUDE DO OESTE DO PARANA,41,201505
06988976000281,PREFEITURA MUNICIPAL DE MAGALHAES DE ALMEIDA,21,201505
07000268000253,PREFEITURA MUNICIPAL DE ACAILANDIA,21,201504
07003288000105,SOC ACARAU DE PROT A MAT E INFANCIA,23,201505
07006760000155,FUNDACAO DE SAUDE E ASSISTENCIA DE TUNTUM,21,200801
07008865000143,HOSPITAL MUNICIPAL DJALMA MARQUES,21,201505
07010077000191,ASSOCIACAO BENEFICIENTE HOSPITAL E MATERNIDADE JULIA BARRETO,23,200801
07018138000167,SOCIEDADE DE ASSISTENCIA AOS CEGOS,23,201505
07038784000196,IEPOM INSTITUICAO DE ENSINO E PESQUISA OFTALMOLOGICA MARINGA,41,201301
07050353000145,CLINICA OLHOS OFTALMOLASER LTDA ME,23,201504
07051643000103,ASSOCIACAO HOSPITALAR DOM JOAQUIM,42,201409
07052462000100,ADAS ADMINISTRACAO ASSIST MEDICA HOSP LTDA EPP,15,201307
07059280001124,HOSPITAL MUNICIPAL DR EUDASIO BARROSO,23,201504
07059280001981,PREF M GRANJA,23,200801
07070735000130,ASSOCIACAO SAN JULIAN AMIGOS E COLABORADORES,41,201505
07080050000175,VISION CLINICA DE OLHOS LIMITADA EPP,13,201505
07088017000191,SOCIEDADE HOSPITALAR ANGELINA CARON,41,200801
07095292000132,ASSOC PROT MAT INF DE CAMOCIM,23,201505
07101447000104,PREF M CAMPOS SALES,23,201103
07101603000129,CLINICA SANTA CLARA LTDA,22,201505
07113558000394,SOC HOSP SAO FRANCISCO CANINDE,23,201505
07126998000467,SISTEMA DE SAUDE VICENTINA MARGARIDA NASEAU,23,201504
07126998000629,SISTEMA DE SAUDE VICENTINA MARGARIDA NASEAU,23,201505
07126998000700,SISTEMA DE SAUDE VICENTINA MARGARIDA NASEAU,23,201505
07138522000101,ASSOC PROT MAT INF DE CAUCAIA,23,200801
07142188000151,SAO FRANCISCO INSTITUTO VIDA,41,201504
07142607000155,ASSOCIACAO DE PROTECAO E ASSISTENCIA A MAT INF DE CEDRO,23,201505
07179096000146,CASA DE SAUDE SANTA TEREZA LTDA,23,201505
07183878000159,EMP L TRABULSI N MENDONCA,21,200904
07194341000194,HOFTALON CENTRO DE ESTUDO E PESQUISA DA VISAO,41,201505
07196241000105,SESCRETARIA DE SAUDE DO ESTADO DA BAHIA,29,200801
07204902000199,SOS SOCORROS MEDICOS,23,200801
07221260000136,CLINICA DE RECUPERACAO E REABILITACAO DE MUTILADOS SC LTDA,23,200801
07227538000182,INSTITUTO DE MEDICINA PSICOSSOMATICA,41,200801
07228703000110,CASA DE SAUDE SAO GERARDO LTDA,23,201505
07230181000191,O F POLO,11,201505
07243265000160,ALLAN HAMILTON DE ARAUJO MELO ME,29,201410
07245269000187,CASA DE SAUDE E MATERNIDADE SAO RAIMUNDO SA,23,200801
07250541000117,CENTRO MEDICO HOSP SANTA ISABEL SC,22,201505
07253784000109,SOCIEDADE DE ASSISTENCIA E PROTECAO A INFANCIA DE FORTALEZA,23,201505
07262066000107,PRONTO SOCORRO PRONTOMEDICO LTDA,23,201505
07263866000134,HOSPITAL BATISTA MEMORIAL,23,201505
07264740000184,CLINICA DE ACIDENTES SA,23,200801
07265515000162,INSTITUTO DO CANCER DO CEARA,23,201505
07271711000140,INSTITUTO DE PSIQUIATRIA DO CEARA LTDA,23,200801
07272297000193,PRONTO SOCORRO DOS ACIDENTADOS LTDA,23,201505
07272636000212,UNIVERSIDADE FEDERAL DO CEARA,23,201505
07272636000301,UNIVERSIDADE FEDERAL DO CEARA,23,201505
07273592000245,IRMANDADE BEN DA SANTA CASA DE MISERICORDIA DE FORTALEZA,23,201505
07275084000115,INSTITUTO CLINICO DE FORTALEZA SOCIEDADE CIVIL LTDA,23,201505
07275753000159,CLINICA DE SAUDE MENTAL DR SULIANO LTDA,23,200801
07277622000453,INSTITUTO FRANCISCO PEREZ,15,201505
07279231000125,INTERVIDA PRESTACAO SERV MEDICOS HOSP LTDA EPP,52,201505
07287865000120,INSTITUICAO ESPIRITA NOSSO LAR,23,201505
07303618000170,CLINICA SANTA MONICA S S LTDA,29,201505
07303837000159,HOSPITAL DE OLHOS LEIRIA DE ANDRADE,23,201505
07309701000156,HOSPITAL PROBEM LTDA,21,201505
07329758000117,HOSPITAL MIRA Y LOPEZ,23,200801
07336084000188,SOC BENEF DE BARREIRA,23,201505
07337331000160,ANTUNES E LIRA,15,201505
07345851000204,CRUZ VERMELHA BRASILEIRA FILIAL DO ESTADO DO RS,42,201203
07354277000161,IGO INSTITUTO DE GINECOLOGIA E OBSTETRICIA LTDA,21,201505
07354350000103,CLINICA SAO SEBASTIAO LTDA,21,201505
07355126000128,SOCIEDADE MEDICO CIRURGICO SAO SEBASTIAO LTDA,23,200801
07363609000174,CASA DE SAUDE NOSSA SENHORA DAS GRACAS,23,201505
07375113000110,ASSOCIACAO COMUNITARIA HOSPITAL NOSSA SENHORA DE LOURDES,43,201505
07388358000182,HOSPITAL REGIONAL MANUEL DE ABREU LTDA,23,200801
07390941000128,CASA DE SAUDE MAT STO ANTONIO LTDA,23,200801
07402410000108,COMPLEXO HOSPITALAR NILTON LINS LTDA,13,201210
07404052000172,CRUZ VERMELHA BRASILEIRA FILIAL DO ESTADO DO PARANA,41,201505
07411705000574,FUNDACAO ANA LIMA,23,201505
07420153000137,ASSOCIACAO HOSPITALAR NOSSA SENHORA DE FATIMA SC,42,201505
07432606000145,MATERCLINICA HOSPITAL E MATERNIDADE LTDA ME,26,201502
07434004000127,SOC ASSIST DE BEBERIBE,23,200801
07442479000165,HOSPITAL DE OLHOS NORTE PIONEIRO S S LTDA,41,201505
07444159000225,POLICIA MILITAR DO PIAUI,22,201505
07451594000104,SOCIEDADE CIVIL MEDICO CIRURGICA,23,200801
07457237000145,ASSOCIACAO DE PROTECAO A MATERNIDADE E A INFANCIA,23,201505
07479678000148,CLINICA DE CORACAO LTDA,22,201505
07495716000156,SOC BENEF NOSSA SENHORA DE LOURDES,23,200801
07498009000113,INSTITUTO DO COMPORTAMENTO INCONS LTDA,21,200801
07503792000166,HOSPITAL MUNICIPAL SAO VICENTE DE PAULO,31,200801
07506752000330,INSTITUTO DE SAUDE E EDUCACAO VIDA,43,201505
07506752000410,INSTITUTO DE SAUDE E EDUCACAO VIDA,43,201504
07506752000500,INSTITUTO DE SAUDE E EDUCACAO VIDA,43,201110
07506752000682,INSTITUTO DE SAUDE E EDUCACAO VIDA,43,201505
07506752000925,INSTITUTO DE SAUDE E EDUCACAO VIDA,43,201505
07506752001301,INSTITUTO DE SAUDE E EDUCACAO VIDA,43,201505
07506752001573,INSTITUTO DE SAUDE E EDUCACAO VIDA UNIDADE RIO MAINA,42,201505
07507205000107,ASSOCIACAO IGUATU ASSIST SOCIAL E PROT A INFANCIA,23,201505
07531080000150,SOC PROT MATERN INFANC DE IPU,23,200801
07578636000164,POLICLINICA DE JUAZEIRO LTDA,23,200801
07591591000249,ASSOCIACAO FILANTROPICA MONTES BELOS SOLIDARIA,52,201505
07597753000175,INSTITUTO DE SAUDE BOM JESUS,41,201505
07598436000173,LIGA DE PROT MAT E INF DE CARIRE,23,200801
07605010000108,HOSPITAL DR HELCIO VALENTIM,31,201505
07609365000167,ASSOC DE PROTECAO E ASSIST MATERNIDAD E INFANCIA DE LAVRAS,23,201505
07624687000185,FUNDACAO DE SAUDE E ASSISTENCIA DE COELHO NETO,21,200801
07640681000100,CONSORCIO INTERMUNICIPAL NA AREA DE SAUDE-CONSAUDE,35,200801
07642390000142,MELO ALVES LTDA,21,201505
07651839000139,ASSOC PROT ASSIST MAT INF MAURITI,23,200801
07677263000189,FUNDACAO SAO LUCAS,23,201503
07678950000119,SISTEMA DE ASSISTENCIA SOCIAL E DE SAUDE SAS,25,201505
07678950000208,SISTEMA DE ASSISTENCIA SOCIAL E DE SAUDE SAS,25,201308
07689270000109,INSTITUTO DE ASSISTENCIA SOCIAL E SAUDE SAO JOSE,41,201505
07698617000171,HOSPITAL MIRASSOL LTDA-ME,51,200801
07718372000105,SOC QUIXADAENSE DE PROT E ASSIST A MAT E A INFANCIA,23,201504
07755928000125,ASSOCIACAO DE SAUDE DE FELIZ,43,201505
07756927000103,ASSOC PROT MAT INF DE REDENCAO,23,201505
07770001000164,HOSPITAL E CASA DE SAUDE DE RUSSAS,23,201505
07774211000120,CENTRO ESPECIALIZADO EM OLHOS LTDA,15,201505
07775847000278,FUNDACAO UNIVERSIDADE FEDERAL DA GRANDE DOURADOS,50,201505
07776237000370,FUNDACAO UNIVERSITARIA EVANGELICA FUNEV,52,201505
07801643000183,HOSPITAL E MATERNIDADE SAO GABRIEL LTDA,41,200801
07806680000184,PREF M BOA VIAGEM,23,200801
07808785000172,HOSPITAL DAS CLINICAS E FRATURAS DO CARIRI CS LTDA,23,200801
07810422000171,ASS BEN AMIGOS HOSPITAL,31,201505
07818313000796,SANTA CASA DE MISERICORDIA DE SOBRAL,23,201505
07819646000144,HOSPITAL E MATERNIDADE MUNICIPAL,15,201412
07822419000178,HOSPITAL MATERNIDADE DE APARECIDA LTDA,15,201108
07835044000180,INSTITUTO DR JOSE FROTA CENTRAL,23,201505
07835044000342,SMS SECRETARIA MUNICIPAL DE SAUDE,23,201505
07868849000120,PRONTO MED SERVICOS MEDICOS LTDA,11,201007
07874357000148,SOC ASSIST PROT MAT INF DE UBAJARA,23,200801
07878385000133,LUIZ FRANCA SERVICOS HOSPITALARES LTDA,23,201505
07883775000100,CASA DE SAUDE E MATERNIDADE NOSSA SENHORA DOS REMEDIOS S C,22,201504
07896397000190,CENTRO MEDICO SAO RAFAEL ME,11,201007
07900968000113,MISERICORDIA DE SAO PEDRO DO IVAI,41,201505
07903021000166,INSTITUTO DA CRIANCA MENINO JESUS DE PRAGA - INCRI,23,200801
07905940000179,INSTITUTO SAGRADO CORACAO DE JESUS,50,201505
07911696000238,PREF M AQUIRAZ,23,201505
07936329000108,INSTITUTO DO CORACAO DO ESTADO DA PARAIBA,25,201505
07947587000190,HOSPITAL DE ILHEUS LTDA,29,201505
07954571001348,HOSPITAL GERAL DA POLICIA MILITAR JOSE MARTINIANO DE ALENCAR,23,201505
07954571001429,SECRETARIA ESTADUAL DE SAUDE DO CEARA,23,201505
07954571002239,SECRETARIA DA SAUDE DO ESTADO DO CEARA,23,201505
07954571003553,SECRETARIA DA SAUDE DO ESTADO DO CEARA,23,201505
07954571003715,SECRETARIA DE SAUDE DO ESTADO DO CEARA,23,201505
07954571003804,SECRETARIA DE SAUDE DO ESTADO DO CEARA,23,201505
07954571003987,SECRETARIA ESTADUAL DE SAUDE DO CEARA,23,201505
07956704000181,HOSPITAL E MATERNIDADE REGIONAL REGENTE FEIJO,35,201505
07961303000110,HOSPITAL GERAL E MATERNIDADE ANGELINE,23,200801
07964977000178,ASSOCIACAO HOSPITALAR ANNES DIAS,43,201505
07974744000156,PRONTO SOCORRO INF DO CARIRI LTDA,23,200801
07981080000152,RUBENS SIMONI E CIA LTDA,41,201106
07981245000196,ASSOCIACAO VT MEDEIROS,15,201504
07990336000198,CENTRO REGIONAL INTEGRADO DE ONCOLOGIA,23,201505
07996965000125,HOSPITAL MUNICIPAL SAO GERALDO,31,201505
08020950000190,ASSOCIACAO DE PROT E ASSIST MAT INF DE ALEXANDRIA,24,201505
08021123000110,ASSOCIACAO DE PROT E ASSIST MAT INF DE ALEXANDRIA,24,201505
08027203000183,INSTITUTO DE MEDICINA PEDIATRICO,24,200801
08041907000100,APAMI DE APODI,24,201505
08069577000161,FUNDACAO HOSPITALAR DR CARLINDO DANTAS,24,201503
08078354000160,APAMI DE PRESIDENTE JUSCELINO,24,200801
08083081000142,APAMI DE AFONSO BEZERRA,24,200801
08083168000110,ASSOCIACAO HOSPITALAR COMUNITARIA DE LIBERATO SALZANO,43,201505
08086225000203,PREFEITURA MUNICIPAL DE EQUADOR,24,201409
08086498000169,APAMI DE JARDIM DO SERIDO,24,201505
08092615000105,ISSAL INSTITUTO DE SAUDE SAO LUCAS,41,201505
08096638000180,SOCIEDADE DE PROTECAO A MATERNIDADE E A INFANCIA DE ACARI,24,201505
08100676001050,HOSPITAL ALVORADA TAGUATINGA LTDA,53,201006
08106379000120,LIGA DE PROT E ASSIST A MAT E A INF DE CRUZETA,24,200801
08109444000171,HOSPITAL OPHIR LOYOLA,15,201505
08116931000161,FUNDACAO ANTONIO FERRAZ,24,201505
08122186000163,APAMI CARNAUBA DOS DANTAS,24,201412
08123408000162,HOSPITAL DA PROVIDENCIA LTDA,26,201505
08135048000119,HOSPITAL PADRE JOAO MARIA E MATERNIDADE ANANILIA REGINA,24,200801
08139573000102,ASSOCIACAO HOSPITALAR TUCUNDUVA E NOVO MACHADO,43,201505
08149288000172,CASA DE SAUDE E MATERNIDADE SANTA CLARA LTDA,26,200801
08151300000183,ASSOC DE PROT E ASSIST A MAT E A INFANCIA DE FLORANIA,24,200801
08151862000127,LIGA DE ASSISTENCIA SOCIAL DE PAU DOS FERROS,24,201503
08160430000182,ASSOCIACAO AMIGOS DO HOSPITAL DONA PAULINA DAMEN KOCKX,31,201503
08168429000102,APAMI DE SAO JOSE DE MIPIBU,24,201410
08202459000180,APAMI DE LAJES,24,201505
08214460000124,HOSPITAL OTOCENTRO DE LONDRINA LTDA,41,201010
08216471000143,SESAB SECRETARIA DA SAUDE DO ESTADO DA BAHIA,29,200801
08220899000160,ASSOCIACAO DOS MUNICIPIOS DO SERIDO,24,200801
08222325000120,APAMI DE MACAU,24,201505
08238016000149,APAMI DE MARTINS,24,200801
08240706000132,ASSOCIACAO BENEFICENTE BOM JESUS LTDA,51,201505
08241754001036,SECRETARIA ESTADUAL DA SAUDE,24,201505
08241754001206,SECRETARIA ESTADUAL DA SAUDE,24,201505
08241754005376,SECRETARIA ESTADUAL DA SAUDE PUBLICA DO RN,24,201505
08241754005708,SECRETARIA DE SAUDE PUBLICA,24,201505
08241754009878,SECRETARIA ESTADUAL DA SAUDE PUBLICA,24,201501
08241754010027,SECRETARIA ESTADUAL DA SAUDE PUBLICA DO RN,24,201505
08241754010299,SECRETARIA ESTADUAL DE SAUDE DO RN,24,201505
08241754010450,SECRETARIA DE SAUDE PUBLICA,24,201505
08241754010531,SECRETARIA DE SAUDE PUBLICA,24,201505
08241754010612,SECRETARIA DA SAUDE PUBLICA,24,201505
08241754010701,SECRETARIA DA SAUDE PUBLICA,24,201505
08241754010884,SECRETARIA ESTADUAL DE SAUDE DO RN,24,201505
08241754010965,RIO GRANDE DO NORTE SECRETARIA DA SAUDE PUBLICA,24,201505
08241754011007,RIO GRANDE DO NORTE SECRETARIA DA SAUDE PUBLICA,24,201505
08241754011180,SECRETARIA ESTADUAL DA SAUDE,24,201505
08241754011260,SECRETARIA ESTADUAL DA SAUDE,24,201505
08241754011503,SECRETARIA ESTADUAL DE SAUDE DO RN,24,201505
08241754011694,SECRETARIA ESTADUAL DA SAUDE PUBLICA,24,201505
08241754011937,SECRETARIA DA SAUDE PUBLICA DO RIO GRANDE DO NORTE,24,201505
08254617000145,CENTRO HOSPITALAR DE MOSSORO SA,24,200801
08256158000139,SOCIEDADE HOSPITAL DE CARIDADE DE MOSSORO,24,200801
08256240000163,ASSOCIACAO DE PROT E ASSIST A MATERNIDADE E A INF DE MOSSORO,24,201505
08285710000117,INSTITUTO DE TRAUMATOLOGIA E ORTOPEDIA DO RN LTDA,24,200801
08290967000167,HOSPITAL SANTA LUCIA,25,200801
08293185000262,DIRETORIA SPM HOSPITAL DA POLICIA MILITAR,24,200801
08318339000142,ASSOCIACAO DE PROT E ASSIST A MATERN E A INF DE UMARIZAL,24,200801
08325231000187,INSTITUTO SAUDE SANTA CLARA,41,201505
08327108000103,HOSPITAL MEDICO CIRURGICO SA,24,201505
08337586000196,INSTITUTO DE PROTECAO E ASSISTENCIA A INFANCIA DO RN,24,201505
08383606000165,SERVICOS DE ASSISTENCIA MEDICO CIRURGICA LTDA,24,200801
08423758000144,CASA DE SAUDE PETROPOLIS,24,200801
08428765000309,LIGA NORTERIOGRANDENSE CONTRA O CANCER,24,201505
08430225000190,CLINICA SANTA MARIA LTDA,24,200801
08464166000170,APAMI DE PARELHAS,24,201505
08470568000269,FIDELIS E CALISTER LTDA,29,201002
08470718000153,APAMI DE JOAO CAMARA,24,200801
08473435000165,ASSOCIACAO HOSPITALAR BENEFICIENTE SANTA TERESINHA,43,201005
08477705000106,APAMI DE PATU,24,200801
08488413000179,APAMI DE MARCELINO VIEIRA,24,201505
08515025000130,HOSPITAL MATERNIDADE DR ANTONIO MARTINS,24,201505
08525008000183,POLICLINICA DO ASSU LTDA,24,201412
08526006000109,HOSPITAL PEDRO I,25,200801
08538233000154,APAMI DE SAO JOAO DO SABUGI,24,200801
08545865000145,ASSOC. ASSIST. PROTECAO A MATERNIDADE E A INFANCIA - APAMI,24,200801
08560393000108,ASSOC DE PROTECAO E ASSISTENCIA A MAT E A INFANCIA APAMI,24,200801
08562523000133,HSCOR SERVICO DE HEMODINAMICA DE DUQUE DE CAXIAS,33,201505
08579164000127,ASSOCIACAO HOSPITALAR BENEFICIENTE SANTO ANTONIO,43,201505
08580623000192,APAMI ASSOCIACAO DE PROT E ASSIST A MAT E A INFANCIA,24,200801
08581140000102,ENZO NAPOLI HAMAMOTO HOSPITAL,41,200808
08584781000110,ASSOC DE PROT A MATERNIDADE E A INF DE S NEGRA DO NORTE,24,201505
08587099000262,SOCIEDADE PROFESSOR HEITOR CARRILHO,24,201505
08610339000111,CLINICA INFANTIL AMAI LTDA,27,201505
08636725000182,ASSOCIACAO HOSPITALAR DE CARIDADE SERRO AZUL,43,201505
08667206000181,INSTITUTO SAO JOSE,25,201505
08672891000134,CASA DE SAUDE NOSSA SENHORA DE FATIMA,25,200801
08680639000339,UNIMED JOAO PESSOA COOPERATIVA DE TRABALHO MEDICO,25,200801
08740466000305,MUNICIPIO DE PEDRA LAVRADA,25,201505
08772847000287,ASSOCIACAO HUMANITARIA BENEFICENTE DO RECIFE,26,201505
08776971000210,INSTITUTO SANTE,42,201505
08778268000241,SECRETARIA DE ESTADO DE SAUDE,25,201505
08778268000403,SECRETARIA ESTADUAL DE SAUDE,25,201504
08778268000594,SECRETARIA DE SAUDE DO ESTADO,25,201505
08778268000675,SECRETARIA DO ESTADO DA SAUDE,25,201505
08778268001051,SECRETARIA DE ESTADO DA SAUDE,25,201505
08778268001132,SECRETARIA DE ESTADO DE SAUDE,25,201505
08778268001213,SECRETARIA DE ESTADO DE SAUDE,25,201505
08778268001566,SECRETARIA DO ESTADO DE SAUDE,25,201505
08778268001728,SECRETARIA DE ESTADO DA SAUDE,25,201503
08778268001809,SECRETARIA ESTADUAL DA SAUDE,25,201505
08778268002023,PREFEITURA MUNICIPAL DE CAJAZEIRAS,25,200801
08778268002295,SECRETARIA DE ESTADO DA SAUDE,25,201503
08778268002376,SECRETARIA DE ESTADO DA SAUDE,25,201503
08778268002457,SECRETARIA DE ESTADO DA SAUDE SES,25,201505
08778268002708,SECRETARIA ESTADUAL DE SAUDE,25,201504
08778268003267,SECRETARIA DE ESTADO DA SAUDE,25,200801
08778268003348,COMPLEXO DE SAUDE CRUZ DAS ARMAS,25,201505
08778268003500,SECRETARIA DE ESTADO DA SAUDE,25,200801
08778268003690,PARAIBA SECRETARIA DA SAUDE,25,201505
08778268003771,PARAIBA SECRETARIA DE SAUDE,25,201505
08778268003852,PARAIBA SECRETARIA DA SAUDE,25,201505
08778268003933,SECRETARIA DE ESTADO DA SAUDE,25,201505
08778268004239,SECRETARIA DE ESTADO DA SAUDE,25,200801
08778268004743,HOSPITAL GERAL DE ITAPOROROCA PREF JOSE FELIX DE BRITO,25,201505
08799586000108,NEFROLOGISTAS ASSOCIADOS S S LTDA,52,201310
08810004000147,ASSOCIACAO DE AMPARO A MATERNIDADE TIBURCIO VOLIVEIRA,25,201505
08827069000103,ACO ASSOCIACAO BENEFICENTE COSTA OESTE,41,201505
08828617000101,ASSOCIACAO DE SAUDE FREDERICO KECHE VIRMOND,41,201505
08830721000130,INSTITUTO NEUROPSIQUIATRICO DE CAMPINA GRANDE SC LTDA,25,201505
08834137000153,HOSPITAL ANTONIO TARGINO LTDA,25,201505
08841421000157,FUNDACAO ASSISTENCIAL DA PARAIBA,25,201505
08852998000164,INSTITUTO DE TISIOLOGIA E PNEUMOLOGIA DE C GRANDE LTDA,25,200801
08853496000158,INSTITUTO DR FEITOSA,41,201505
08867144000151,HOSPITAL MUNICIPAL PEDRO VICENTE DA SILVA,22,201505
08883024000148,CASA DE SAUDE E MATERNIDADE FREI GALVAO LTDA,32,200801
08888967000163,FUNDO MUNICIPAL DE SAUDE DE CRUZEIRO DO OESTE,41,201505
08891137000195,ASSOCIACAO DE PROTECAO A INF DE S MANGUEIRA,25,200801
08898124000571,HOSPITAL E MATERNIDADE M N S ROSARIO,25,200801
08900268000191,ASS DE PROTECAO A MAT E ASSIST A INF DE CAAPORA,25,201505
08907537000141,FUNDACAO SANTA CECILIA,25,200801
08911792000168,CMC CENTRAL MEDICA CASCAVEL LTDA,41,201505
08921876000697,PREFEITURA MUNICIPAL DE RIACHO DOS CAVALOS,25,200801
08922684000190,ASSOCIACAO PROT A MAT E A INFANCIA,25,201505
08924029000252,HOSPITAL MUNICIPAL CAPITAO JOAO DANTAS ROTHEA,25,201504
08933601000169,ASSISTENCIA VICENTINA IMACULADA CONCEICAO,35,201505
08943130000170,FUNDACAO HOSPITALAR SAO JOSE,43,201308
08944068000130,ASSOCIACAO DE PROTECAO A MATERNIDADE E INFANCIA,25,200801
08948366000107,PRONTO SOCORRO DO CORACAO E PULMAO LTDA,25,200801
08948912000100,CERSOSIMO E VRIESMAN LTDA,41,201505
08999674000668,HOSPITAL M MATERNO INFANTIL DR ANTONIO DE PAIVA GADELHA,25,201504
08999690000146,PREFEITURA MUN DE SANTA CRUZ,25,201206
08999716000580,HOSPITAL E MATERNIDADE NOSSA SENHORA DO CARMO,25,201505
09007675000137,CASA DE SAUDE E MATERNIDADE SAO FRANCISCO DE ASSIS,25,201503
09013271000156,ASSIST MED HOSPITALAR LTDA,52,201505
09030263000118,CASA DE SAUDE E MATERNIDADE SENHORA DA LUZ LTDA,25,200801
09032632000101,SOCEIDADE BENEFICENTE SANTA TEREZINHA,26,200801
09055245000190,SOCIEDADE MANT HOSP R MAT SAO VICENTE E PAULA,25,201501
09079567000170,MATERNIDADE JUSTINIANA BARBOSA,24,200801
09086000000120,FUNDACAO ASSISTENCIAL E HOSPITALAR DE SAO JOSE DE PIRANHAS,25,201505
09096181000176,INSTITUTO DE PSIQUIATRIA DA PARAIBA LTDA,25,201505
09096207000186,PRONTO SOCORRO INFANTIL RODRIGUES DE AGUIAR,25,201505
09107623000132,SOCIEDADE HOSPITALAR BENEFICENTE MARIA VITORIA,26,201505
09108614000166,CASA DE SAUDE SAO PEDRO,25,200801
09112236000194,HOSPITAL NAPOLEAO LAUREANO MANTIDO PELA FUND LAUREANO,25,201505
09114364000177,HOSPITAL INFANTIL DR JOAO SOARES,25,200801
09114612000180,HOSPITAL SAO LUIZ LTDA,25,201505
09121674000119,INSTITUTO DE PNEUMOLOGIA DA PARAIBA,25,200801
09124165000140,INSTITUTO WALFREDO GUEDES PEREIRA,25,201505
