CGC_HOSP,RAZAO,UF_ZI,CMPT
00697295002060,SES UNIDADE HOSPITALAR DE BOCA DO ACRE,13,201505
00697295002140,SECRETARIA ESTADUAL DE SAUDE,13,201505
00697295002221,SECRETARIA DE ESTADO DE SAUDE,13,201505
00697295002302,UNIDADE HOSPITALAR DE BORBA,13,201408
00697295002493,SES UNIDADE HOSPITALAR DE LABREA,13,201505
00697295002574,UNIDADE HOS PITALAR DE IRANDUBA,13,201505
00697295002736,SESUNIDADE HOSPITALAR DE CARAUARI,13,201505
00697295002906,SES UNIDADE HOSPITALAR DE CODAJAS,13,201505
00697295003031,SECRETARIA DE ESTADO DA SAUDE,13,201505
00697295003112,SECRETARIA DE ESTADO DE SAUDE,13,201505
00697295003201,UNIDADE HOSPITALAR DE ATALAIA DO NORTE,13,201505
00697295003465,SECRETARIA DE ESTADO DA SAUDE,13,201505
00697295003546,SECRETARIA DE ESTADO DA SAUDE SES,13,200801
00697295003627,SECRETARIA DE ESTADO DA SAUDE,13,201505
00697295003708,SES UNIDADE MISTA DE ANORI,13,200801
00697295003899,SECRETARIA DE ESTADO DA SAUDE,13,200801
00697295003970,UNIDADE HOSPITALAR DE BARCELOS,13,201505
00697295004003,SESUNIDADE HOSPITALAR DE TAPAUA,13,201505
00697295004194,HOSPITAL CORIOLANO CIDADE LINDOSO,13,201505
00697295004275,SES UNIDADE HOSPITALAR DE URUCURITUBA,13,201505
00697295004356,SES UNIDADE HOSPITALAR DE ITAMARATI,13,201505
00697295004437,SES UNIDADE HOSPITALAR DE SAO SEBASTIAO DO UATUMA,13,201504
00697295004518,SES UNIDADE MISTA DE BERURI,13,201505
00697295004607,SES UNIDADE HOSPITALAR DE ANAMA,13,201505
00697295004780,PRONTO SOCORRO DA CRIANCA ZONA SUL,13,201505
00697295004860,SESUNIDADE HOSPITALAR DE IAUARETE,13,201009
00697295004941,SECRETARIA DE ESTADO DA SAUDE,13,201505
00697295005085,UNIDADE HOSPITALAR DE CANUTAMA,13,201505
00697295005247,SES UNIDADE HOSPITALAR DE MANAQUIRI,13,201505
00697295005409,SES UNIDADE HOSPITALAR DE NOVA OLINDA DO NORTE,13,201504
00697295005590,SESUNIDADE HOSPITALAR DO CASTANHO,13,201504
00697295005832,UNIDADE HOSPITALAR DE JUTAI,13,201505
00697295006057,HOSPITAL PSIQUIATRICO EDUARDO RIBEIRO,13,201505
00697295006138,HOSPITAL PRONTO SOCORRO 28 DE AGOSTO,13,201505
00697295006219,SESUNIDADE HOSPITALAR APUI,13,201505
00697295006308,SES UNIDADE HOSPITALAR DE SAO PAULO DE OLIVENCA,13,201505
00697295006480,SECRETARIA ESTADUAL DE SAUDE,13,201505
00697295006561,HOSPITAL E P S DR JOAO LUCIO P MACHAD0,13,201505
00697295006642,INSTITUTO DE SAUDE DA CRIANCA DO AMAZONAS,13,201505
00697295006804,HOSPITAL SAO JOAQUIM,13,201505
00697295007029,SES UNIDADE MISTA DE TONANTINS,13,200801
00697295007100,SES UNIDADE HOSPITALAR SANTO ANTONIO DO ICA,13,201505
00697295007533,SESHOSPITAL INFANTIL DR FAJARDO,13,201505
