CID,DESCRICAO,TP_NIVEL,RESTRSEXO,DS_CATEGORIA,DS_GRUPO,DS_CAPITULO
I664,Oclusao/estenose arterias cerebr mult bilat,SUBCAT,5,Oclusao/estenose art cereb q n res inf cereb,I60-I69 Doenças cerebrovasculares,IX. Doenças do aparelho circulatório
I668,Oclusao e estenose de outr arteria cerebral,SUBCAT,5,Oclusao/estenose art cereb q n res inf cereb,I60-I69 Doenças cerebrovasculares,IX. Doenças do aparelho circulatório
I669,Oclusao e estenose de arteria cerebral NE,SUBCAT,5,Oclusao/estenose art cereb q n res inf cereb,I60-I69 Doenças cerebrovasculares,IX. Doenças do aparelho circulatório
I67,Outr doenc cerebrovasculares,CAT,5,Outr doenc cerebrovasculares,I60-I69 Doenças cerebrovasculares,IX. Doenças do aparelho circulatório
I670,Disseccao de arterias cerebrais s/ruptura,SUBCAT,5,Outr doenc cerebrovasculares,I60-I69 Doenças cerebrovasculares,IX. Doenças do aparelho circulatório
I671,Aneurisma cerebral nao-roto,SUBCAT,5,Outr doenc cerebrovasculares,I60-I69 Doenças cerebrovasculares,IX. Doenças do aparelho circulatório
I672,Aterosclerose cerebral,SUBCAT,5,Outr doenc cerebrovasculares,I60-I69 Doenças cerebrovasculares,IX. Doenças do aparelho circulatório
I673,Lencoencefalopatia vascular progressiva,SUBCAT,5,Outr doenc cerebrovasculares,I60-I69 Doenças cerebrovasculares,IX. Doenças do aparelho circulatório
I674,Encefalopatia hipertensiva,SUBCAT,5,Outr doenc cerebrovasculares,I60-I69 Doenças cerebrovasculares,IX. Doenças do aparelho circulatório
I675,Doenc de Moyamoya,SUBCAT,5,Outr doenc cerebrovasculares,I60-I69 Doenças cerebrovasculares,IX. Doenças do aparelho circulatório
I676,Trombose nao-piogenica sist venoso intracran,SUBCAT,5,Outr doenc cerebrovasculares,I60-I69 Doenças cerebrovasculares,IX. Doenças do aparelho circulatório
I677,Arterite cerebral NCOP,SUBCAT,5,Outr doenc cerebrovasculares,I60-I69 Doenças cerebrovasculares,IX. Doenças do aparelho circulatório
I678,Outr doenc cerebrovasculares espec,SUBCAT,5,Outr doenc cerebrovasculares,I60-I69 Doenças cerebrovasculares,IX. Doenças do aparelho circulatório
I679,Doenc cerebrovascular NE,SUBCAT,5,Outr doenc cerebrovasculares,I60-I69 Doenças cerebrovasculares,IX. Doenças do aparelho circulatório
I68,Transt cerebrovasculares em doenc COP,CAT,5,Transt cerebrovasculares em doenc COP,I60-I69 Doenças cerebrovasculares,IX. Doenças do aparelho circulatório
I680,Angiopatia cerebral amiloidotica,SUBCAT,5,Transt cerebrovasculares em doenc COP,I60-I69 Doenças cerebrovasculares,IX. Doenças do aparelho circulatório
I681,Arterite cerebral em doenc infecc e parasit,SUBCAT,5,Transt cerebrovasculares em doenc COP,I60-I69 Doenças cerebrovasculares,IX. Doenças do aparelho circulatório
I682,Arterite cerebral em outr doenc COP,SUBCAT,5,Transt cerebrovasculares em doenc COP,I60-I69 Doenças cerebrovasculares,IX. Doenças do aparelho circulatório
I688,Outr transt cerebrovasculares em doenc COP,SUBCAT,5,Transt cerebrovasculares em doenc COP,I60-I69 Doenças cerebrovasculares,IX. Doenças do aparelho circulatório
I69,Sequelas de doenc cerebrovasculares,CAT,5,Sequelas de doenc cerebrovasculares,I60-I69 Doenças cerebrovasculares,IX. Doenças do aparelho circulatório
I690,Sequelas de hemorragia subaranoidea,SUBCAT,5,Sequelas de doenc cerebrovasculares,I60-I69 Doenças cerebrovasculares,IX. Doenças do aparelho circulatório
I691,Sequelas de hemorragia intracerebral,SUBCAT,5,Sequelas de doenc cerebrovasculares,I60-I69 Doenças cerebrovasculares,IX. Doenças do aparelho circulatório
I692,Sequelas outr hemorrag intracran nao traum,SUBCAT,5,Sequelas de doenc cerebrovasculares,I60-I69 Doenças cerebrovasculares,IX. Doenças do aparelho circulatório
I693,Sequelas de infarto cerebral,SUBCAT,5,Sequelas de doenc cerebrovasculares,I60-I69 Doenças cerebrovasculares,IX. Doenças do aparelho circulatório
I694,Sequelas acid vasc cerebr NE c/hemorr isquem,SUBCAT,5,Sequelas de doenc cerebrovasculares,I60-I69 Doenças cerebrovasculares,IX. Doenças do aparelho circulatório
I698,Sequelas outr doenc cerebrovasculares e NE,SUBCAT,5,Sequelas de doenc cerebrovasculares,I60-I69 Doenças cerebrovasculares,IX. Doenças do aparelho circulatório
I70,Aterosclerose,CAT,5,Aterosclerose,"I70-I79 Doenças das artérias, arteríolas e capilares",IX. Doenças do aparelho circulatório
I700,Aterosclerose da aorta,SUBCAT,5,Aterosclerose,"I70-I79 Doenças das artérias, arteríolas e capilares",IX. Doenças do aparelho circulatório
I701,Aterosclerose da arteria renal,SUBCAT,5,Aterosclerose,"I70-I79 Doenças das artérias, arteríolas e capilares",IX. Doenças do aparelho circulatório
I702,Aterosclerose das arterias das extremidades,SUBCAT,5,Aterosclerose,"I70-I79 Doenças das artérias, arteríolas e capilares",IX. Doenças do aparelho circulatório
I708,Aterosclerose de outr arterias,SUBCAT,5,Aterosclerose,"I70-I79 Doenças das artérias, arteríolas e capilares",IX. Doenças do aparelho circulatório
I709,Aterosclerose generalizada e a NE,SUBCAT,5,Aterosclerose,"I70-I79 Doenças das artérias, arteríolas e capilares",IX. Doenças do aparelho circulatório
I71,Aneurisma e disseccao da aorta,CAT,5,Aneurisma e disseccao da aorta,"I70-I79 Doenças das artérias, arteríolas e capilares",IX. Doenças do aparelho circulatório
I710,Aneurisma dissecante da aorta,SUBCAT,5,Aneurisma e disseccao da aorta,"I70-I79 Doenças das artérias, arteríolas e capilares",IX. Doenças do aparelho circulatório
I711,Aneurisma da aorta toracica roto,SUBCAT,5,Aneurisma e disseccao da aorta,"I70-I79 Doenças das artérias, arteríolas e capilares",IX. Doenças do aparelho circulatório
I712,Aneurisma da aorta toracica s/mencao ruptura,SUBCAT,5,Aneurisma e disseccao da aorta,"I70-I79 Doenças das artérias, arteríolas e capilares",IX. Doenças do aparelho circulatório
I713,Aneurisma da aorta abdominal roto,SUBCAT,5,Aneurisma e disseccao da aorta,"I70-I79 Doenças das artérias, arteríolas e capilares",IX. Doenças do aparelho circulatório
I714,Aneurisma aorta abdominal s/mencao ruptura,SUBCAT,5,Aneurisma e disseccao da aorta,"I70-I79 Doenças das artérias, arteríolas e capilares",IX. Doenças do aparelho circulatório
I715,Aneurisma da aorta toraco-abdominal roto,SUBCAT,5,Aneurisma e disseccao da aorta,"I70-I79 Doenças das artérias, arteríolas e capilares",IX. Doenças do aparelho circulatório
I716,Aneurisma aorta toraco-abdom s/menc ruptura,SUBCAT,5,Aneurisma e disseccao da aorta,"I70-I79 Doenças das artérias, arteríolas e capilares",IX. Doenças do aparelho circulatório
I718,Aneurisma da aorta de localiz NE roto,SUBCAT,5,Aneurisma e disseccao da aorta,"I70-I79 Doenças das artérias, arteríolas e capilares",IX. Doenças do aparelho circulatório
I719,Aneurisma aortico local NE s/mencao ruptura,SUBCAT,5,Aneurisma e disseccao da aorta,"I70-I79 Doenças das artérias, arteríolas e capilares",IX. Doenças do aparelho circulatório
I72,Outr aneurismas,CAT,5,Outr aneurismas,"I70-I79 Doenças das artérias, arteríolas e capilares",IX. Doenças do aparelho circulatório
I720,Aneurisma da arteria carotida,SUBCAT,5,Outr aneurismas,"I70-I79 Doenças das artérias, arteríolas e capilares",IX. Doenças do aparelho circulatório
I721,Aneurisma de arteria dos membros super,SUBCAT,5,Outr aneurismas,"I70-I79 Doenças das artérias, arteríolas e capilares",IX. Doenças do aparelho circulatório
I722,Aneurisma da arteria renal,SUBCAT,5,Outr aneurismas,"I70-I79 Doenças das artérias, arteríolas e capilares",IX. Doenças do aparelho circulatório
I723,Aneurisma de arteria iliaca,SUBCAT,5,Outr aneurismas,"I70-I79 Doenças das artérias, arteríolas e capilares",IX. Doenças do aparelho circulatório
I724,Aneurisma de arteria dos membros infer,SUBCAT,5,Outr aneurismas,"I70-I79 Doenças das artérias, arteríolas e capilares",IX. Doenças do aparelho circulatório
I728,Aneurisma de outr arterias espec,SUBCAT,5,Outr aneurismas,"I70-I79 Doenças das artérias, arteríolas e capilares",IX. Doenças do aparelho circulatório
I729,Aneurisma de localiz NE,SUBCAT,5,Outr aneurismas,"I70-I79 Doenças das artérias, arteríolas e capilares",IX. Doenças do aparelho circulatório
I73,Outr doenc vasculares perifericas,CAT,5,Outr doenc vasculares perifericas,"I70-I79 Doenças das artérias, arteríolas e capilares",IX. Doenças do aparelho circulatório
I730,Sindr de Raynaud,SUBCAT,5,Outr doenc vasculares perifericas,"I70-I79 Doenças das artérias, arteríolas e capilares",IX. Doenças do aparelho circulatório
I731,Tromboangeite obliterante,SUBCAT,5,Outr doenc vasculares perifericas,"I70-I79 Doenças das artérias, arteríolas e capilares",IX. Doenças do aparelho circulatório
I738,Outr doenc vasculares perifericas espec,SUBCAT,5,Outr doenc vasculares perifericas,"I70-I79 Doenças das artérias, arteríolas e capilares",IX. Doenças do aparelho circulatório
I739,Doenc vasculares perifericas NE,SUBCAT,5,Outr doenc vasculares perifericas,"I70-I79 Doenças das artérias, arteríolas e capilares",IX. Doenças do aparelho circulatório
I74,Embolia e trombose arteriais,CAT,5,Embolia e trombose arteriais,"I70-I79 Doenças das artérias, arteríolas e capilares",IX. Doenças do aparelho circulatório
I740,Embolia e trombose da aorta abdominal,SUBCAT,5,Embolia e trombose arteriais,"I70-I79 Doenças das artérias, arteríolas e capilares",IX. Doenças do aparelho circulatório
I741,Embolia trombose outr porcoes da aorta e NE,SUBCAT,5,Embolia e trombose arteriais,"I70-I79 Doenças das artérias, arteríolas e capilares",IX. Doenças do aparelho circulatório
I742,Embolia e trombose de arterias membros super,SUBCAT,5,Embolia e trombose arteriais,"I70-I79 Doenças das artérias, arteríolas e capilares",IX. Doenças do aparelho circulatório
I743,Embolia e trombose de arterias membros infer,SUBCAT,5,Embolia e trombose arteriais,"I70-I79 Doenças das artérias, arteríolas e capilares",IX. Doenças do aparelho circulatório
I744,Embolia e trombose de arterias membros NE,SUBCAT,5,Embolia e trombose arteriais,"I70-I79 Doenças das artérias, arteríolas e capilares",IX. Doenças do aparelho circulatório
I745,Embolia e trombose da arteria iliaca,SUBCAT,5,Embolia e trombose arteriais,"I70-I79 Doenças das artérias, arteríolas e capilares",IX. Doenças do aparelho circulatório
I748,Embolia e trombose de outr arterias,SUBCAT,5,Embolia e trombose arteriais,"I70-I79 Doenças das artérias, arteríolas e capilares",IX. Doenças do aparelho circulatório
I749,Embolia e trombose de arteria NE,SUBCAT,5,Embolia e trombose arteriais,"I70-I79 Doenças das artérias, arteríolas e capilares",IX. Doenças do aparelho circulatório
I77,Outr afeccoes das arterias e arteriolas,CAT,5,Outr afeccoes das arterias e arteriolas,"I70-I79 Doenças das artérias, arteríolas e capilares",IX. Doenças do aparelho circulatório
I770,Fistula arteriovenosa adquir,SUBCAT,5,Outr afeccoes das arterias e arteriolas,"I70-I79 Doenças das artérias, arteríolas e capilares",IX. Doenças do aparelho circulatório
I771,Estenose de arteria,SUBCAT,5,Outr afeccoes das arterias e arteriolas,"I70-I79 Doenças das artérias, arteríolas e capilares",IX. Doenças do aparelho circulatório
I772,Ruptura de arteria,SUBCAT,5,Outr afeccoes das arterias e arteriolas,"I70-I79 Doenças das artérias, arteríolas e capilares",IX. Doenças do aparelho circulatório
I773,Displasia fibromuscular arterial,SUBCAT,5,Outr afeccoes das arterias e arteriolas,"I70-I79 Doenças das artérias, arteríolas e capilares",IX. Doenças do aparelho circulatório
I774,Sindr de compressao da arteria celiaca,SUBCAT,5,Outr afeccoes das arterias e arteriolas,"I70-I79 Doenças das artérias, arteríolas e capilares",IX. Doenças do aparelho circulatório
I775,Necrose de arteria,SUBCAT,5,Outr afeccoes das arterias e arteriolas,"I70-I79 Doenças das artérias, arteríolas e capilares",IX. Doenças do aparelho circulatório
I776,Arterite NE,SUBCAT,5,Outr afeccoes das arterias e arteriolas,"I70-I79 Doenças das artérias, arteríolas e capilares",IX. Doenças do aparelho circulatório
I778,Outr afeccoes espec arterias e arteriolas,SUBCAT,5,Outr afeccoes das arterias e arteriolas,"I70-I79 Doenças das artérias, arteríolas e capilares",IX. Doenças do aparelho circulatório
I779,Afeccoes de arterias e arteriolas NE,SUBCAT,5,Outr afeccoes das arterias e arteriolas,"I70-I79 Doenças das artérias, arteríolas e capilares",IX. Doenças do aparelho circulatório
I78,Doenc dos capilares,CAT,5,Doenc dos capilares,"I70-I79 Doenças das artérias, arteríolas e capilares",IX. Doenças do aparelho circulatório
I780,Telangiectasia hemorragica hereditaria,SUBCAT,5,Doenc dos capilares,"I70-I79 Doenças das artérias, arteríolas e capilares",IX. Doenças do aparelho circulatório
I781,Nevo nao-neoplasico,SUBCAT,5,Doenc dos capilares,"I70-I79 Doenças das artérias, arteríolas e capilares",IX. Doenças do aparelho circulatório
I788,Outr doenc dos capilares,SUBCAT,5,Doenc dos capilares,"I70-I79 Doenças das artérias, arteríolas e capilares",IX. Doenças do aparelho circulatório
I789,Doenc NE dos capilares,SUBCAT,5,Doenc dos capilares,"I70-I79 Doenças das artérias, arteríolas e capilares",IX. Doenças do aparelho circulatório
I79,Transt arter arteriolas capilares doenc COP,CAT,5,Transt arter arteriolas capilares doenc COP,"I70-I79 Doenças das artérias, arteríolas e capilares",IX. Doenças do aparelho circulatório
I790,Aneurisma da aorta em doenc COP,SUBCAT,5,Transt arter arteriolas capilares doenc COP,"I70-I79 Doenças das artérias, arteríolas e capilares",IX. Doenças do aparelho circulatório
I791,Aortite em doenc COP,SUBCAT,5,Transt arter arteriolas capilares doenc COP,"I70-I79 Doenças das artérias, arteríolas e capilares",IX. Doenças do aparelho circulatório
I792,Angiopatia periferica em doenc COP,SUBCAT,5,Transt arter arteriolas capilares doenc COP,"I70-I79 Doenças das artérias, arteríolas e capilares",IX. Doenças do aparelho circulatório
I798,Outr transt arter arteriolas capil doenc COP,SUBCAT,5,Transt arter arteriolas capilares doenc COP,"I70-I79 Doenças das artérias, arteríolas e capilares",IX. Doenças do aparelho circulatório
I80,Flebite e tromboflebite,CAT,5,Flebite e tromboflebite,I80-I89 Doenças das veias e dos vasos linfáticos,IX. Doenças do aparelho circulatório
I800,Flebite tromboflebite vasos superf membr inf,SUBCAT,5,Flebite e tromboflebite,I80-I89 Doenças das veias e dos vasos linfáticos,IX. Doenças do aparelho circulatório
I801,Flebite e tromboflebite da veia femural,SUBCAT,5,Flebite e tromboflebite,I80-I89 Doenças das veias e dos vasos linfáticos,IX. Doenças do aparelho circulatório
I802,Flebite trombofleb outr vasos prof membr inf,SUBCAT,5,Flebite e tromboflebite,I80-I89 Doenças das veias e dos vasos linfáticos,IX. Doenças do aparelho circulatório
I803,Flebite e tromboflebite dos membros infer NE,SUBCAT,5,Flebite e tromboflebite,I80-I89 Doenças das veias e dos vasos linfáticos,IX. Doenças do aparelho circulatório
I808,Flebite e tromboflebite de outr localiz,SUBCAT,5,Flebite e tromboflebite,I80-I89 Doenças das veias e dos vasos linfáticos,IX. Doenças do aparelho circulatório
I809,Flebite e tromboflebite de localiz NE,SUBCAT,5,Flebite e tromboflebite,I80-I89 Doenças das veias e dos vasos linfáticos,IX. Doenças do aparelho circulatório
I81,Trombose da veia porta,CAT,5,Trombose da veia porta,I80-I89 Doenças das veias e dos vasos linfáticos,IX. Doenças do aparelho circulatório
I82,Outr embolia e trombose venosas,CAT,5,Outr embolia e trombose venosas,I80-I89 Doenças das veias e dos vasos linfáticos,IX. Doenças do aparelho circulatório
I820,Sindr de Budd-Chiari,SUBCAT,5,Outr embolia e trombose venosas,I80-I89 Doenças das veias e dos vasos linfáticos,IX. Doenças do aparelho circulatório
I821,Tromboflebite migratoria,SUBCAT,5,Outr embolia e trombose venosas,I80-I89 Doenças das veias e dos vasos linfáticos,IX. Doenças do aparelho circulatório
I822,Embolia e trombose de veia cava,SUBCAT,5,Outr embolia e trombose venosas,I80-I89 Doenças das veias e dos vasos linfáticos,IX. Doenças do aparelho circulatório
I823,Embolia e trombose de veia renal,SUBCAT,5,Outr embolia e trombose venosas,I80-I89 Doenças das veias e dos vasos linfáticos,IX. Doenças do aparelho circulatório
I828,Embolia e trombose de outr veias espec,SUBCAT,5,Outr embolia e trombose venosas,I80-I89 Doenças das veias e dos vasos linfáticos,IX. Doenças do aparelho circulatório
I829,Embolia e trombose venosas de veia NE,SUBCAT,5,Outr embolia e trombose venosas,I80-I89 Doenças das veias e dos vasos linfáticos,IX. Doenças do aparelho circulatório
I83,Varizes dos membros infer,CAT,5,Varizes dos membros infer,I80-I89 Doenças das veias e dos vasos linfáticos,IX. Doenças do aparelho circulatório
I830,Varizes dos membros infer c/ulcera,SUBCAT,5,Varizes dos membros infer,I80-I89 Doenças das veias e dos vasos linfáticos,IX. Doenças do aparelho circulatório
I831,Varizes dos membros infer c/inflam,SUBCAT,5,Varizes dos membros infer,I80-I89 Doenças das veias e dos vasos linfáticos,IX. Doenças do aparelho circulatório
I832,Varizes membros infer c/ulcera e inflam,SUBCAT,5,Varizes dos membros infer,I80-I89 Doenças das veias e dos vasos linfáticos,IX. Doenças do aparelho circulatório
I839,Varizes membros infer s/ulcera ou inflam,SUBCAT,5,Varizes dos membros infer,I80-I89 Doenças das veias e dos vasos linfáticos,IX. Doenças do aparelho circulatório
I84,Hemorroidas,CAT,5,Hemorroidas,I80-I89 Doenças das veias e dos vasos linfáticos,IX. Doenças do aparelho circulatório
I840,Hemorroidas internas trombosadas,SUBCAT,5,Hemorroidas,I80-I89 Doenças das veias e dos vasos linfáticos,IX. Doenças do aparelho circulatório
I841,Hemorroidas internas c/outr complic,SUBCAT,5,Hemorroidas,I80-I89 Doenças das veias e dos vasos linfáticos,IX. Doenças do aparelho circulatório
I842,Hemorroidas internas s/complic,SUBCAT,5,Hemorroidas,I80-I89 Doenças das veias e dos vasos linfáticos,IX. Doenças do aparelho circulatório
I843,Hemorroidas externas trombosadas,SUBCAT,5,Hemorroidas,I80-I89 Doenças das veias e dos vasos linfáticos,IX. Doenças do aparelho circulatório
I844,Hemorroidas externas c/outr complic,SUBCAT,5,Hemorroidas,I80-I89 Doenças das veias e dos vasos linfáticos,IX. Doenças do aparelho circulatório
I845,Hemorroidas externas s/complic,SUBCAT,5,Hemorroidas,I80-I89 Doenças das veias e dos vasos linfáticos,IX. Doenças do aparelho circulatório
I846,Plicomas hemorroidarios residuais,SUBCAT,5,Hemorroidas,I80-I89 Doenças das veias e dos vasos linfáticos,IX. Doenças do aparelho circulatório
I847,Hemorroidas trombosadas NE,SUBCAT,5,Hemorroidas,I80-I89 Doenças das veias e dos vasos linfáticos,IX. Doenças do aparelho circulatório
I848,Hemorroidas NE c/outr complic,SUBCAT,5,Hemorroidas,I80-I89 Doenças das veias e dos vasos linfáticos,IX. Doenças do aparelho circulatório
I849,Hemorroidas s/complic NE,SUBCAT,5,Hemorroidas,I80-I89 Doenças das veias e dos vasos linfáticos,IX. Doenças do aparelho circulatório
I85,Varizes esofagianas,CAT,5,Varizes esofagianas,I80-I89 Doenças das veias e dos vasos linfáticos,IX. Doenças do aparelho circulatório
I850,Varizes esofagianas sangrantes,SUBCAT,5,Varizes esofagianas,I80-I89 Doenças das veias e dos vasos linfáticos,IX. Doenças do aparelho circulatório
I859,Varizes esofagianas s/sangramento,SUBCAT,5,Varizes esofagianas,I80-I89 Doenças das veias e dos vasos linfáticos,IX. Doenças do aparelho circulatório
I86,Varizes de outr localiz,CAT,5,Varizes de outr localiz,I80-I89 Doenças das veias e dos vasos linfáticos,IX. Doenças do aparelho circulatório
I860,Varizes sublinguais,SUBCAT,5,Varizes de outr localiz,I80-I89 Doenças das veias e dos vasos linfáticos,IX. Doenças do aparelho circulatório
I861,Varizes escrotais,SUBCAT,1,Varizes de outr localiz,I80-I89 Doenças das veias e dos vasos linfáticos,IX. Doenças do aparelho circulatório
I862,Varizes pelvicas,SUBCAT,5,Varizes de outr localiz,I80-I89 Doenças das veias e dos vasos linfáticos,IX. Doenças do aparelho circulatório
I863,Varizes da vulva,SUBCAT,3,Varizes de outr localiz,I80-I89 Doenças das veias e dos vasos linfáticos,IX. Doenças do aparelho circulatório
I864,Varizes gastricas,SUBCAT,5,Varizes de outr localiz,I80-I89 Doenças das veias e dos vasos linfáticos,IX. Doenças do aparelho circulatório
I868,Varizes de outr localiz espec,SUBCAT,5,Varizes de outr localiz,I80-I89 Doenças das veias e dos vasos linfáticos,IX. Doenças do aparelho circulatório
I87,Outr transt das veias,CAT,5,Outr transt das veias,I80-I89 Doenças das veias e dos vasos linfáticos,IX. Doenças do aparelho circulatório
I870,Sindr pos-flebite,SUBCAT,5,Outr transt das veias,I80-I89 Doenças das veias e dos vasos linfáticos,IX. Doenças do aparelho circulatório
I871,Compressao venosa,SUBCAT,5,Outr transt das veias,I80-I89 Doenças das veias e dos vasos linfáticos,IX. Doenças do aparelho circulatório
I872,Insuf venosa,SUBCAT,5,Outr transt das veias,I80-I89 Doenças das veias e dos vasos linfáticos,IX. Doenças do aparelho circulatório
I878,Outr transt venosos espec,SUBCAT,5,Outr transt das veias,I80-I89 Doenças das veias e dos vasos linfáticos,IX. Doenças do aparelho circulatório
I879,Transt venoso NE,SUBCAT,5,Outr transt das veias,I80-I89 Doenças das veias e dos vasos linfáticos,IX. Doenças do aparelho circulatório
I88,Linfadenite inespecifica,CAT,5,Linfadenite inespecifica,I80-I89 Doenças das veias e dos vasos linfáticos,IX. Doenças do aparelho circulatório
I880,Linfadenite mesenterica nao especifica,SUBCAT,5,Linfadenite inespecifica,I80-I89 Doenças das veias e dos vasos linfáticos,IX. Doenças do aparelho circulatório
I881,Linfadenite cronica exceto a mesenterica,SUBCAT,5,Linfadenite inespecifica,I80-I89 Doenças das veias e dos vasos linfáticos,IX. Doenças do aparelho circulatório
I888,Outr linfadenites inespecificas,SUBCAT,5,Linfadenite inespecifica,I80-I89 Doenças das veias e dos vasos linfáticos,IX. Doenças do aparelho circulatório
I889,Linfadenite NE,SUBCAT,5,Linfadenite inespecifica,I80-I89 Doenças das veias e dos vasos linfáticos,IX. Doenças do aparelho circulatório
I89,Outr transt nao-infecc vasos linf gangl linf,CAT,5,Outr transt nao-infecc vasos linf gangl linf,I80-I89 Doenças das veias e dos vasos linfáticos,IX. Doenças do aparelho circulatório
I890,Linfedema NCOP,SUBCAT,5,Outr transt nao-infecc vasos linf gangl linf,I80-I89 Doenças das veias e dos vasos linfáticos,IX. Doenças do aparelho circulatório
I891,Linfangite,SUBCAT,5,Outr transt nao-infecc vasos linf gangl linf,I80-I89 Doenças das veias e dos vasos linfáticos,IX. Doenças do aparelho circulatório
I898,Out transt n-inf espec vasos linf gangl linf,SUBCAT,5,Outr transt nao-infecc vasos linf gangl linf,I80-I89 Doenças das veias e dos vasos linfáticos,IX. Doenças do aparelho circulatório
I899,Transt nao-infecc vasos linf gangl linf NE,SUBCAT,5,Outr transt nao-infecc vasos linf gangl linf,I80-I89 Doenças das veias e dos vasos linfáticos,IX. Doenças do aparelho circulatório
I95,Hipotensao,CAT,5,Hipotensao,I95-I99 Outros transtornos do aparelho circulatório,IX. Doenças do aparelho circulatório
I950,Hipotensao idiopatica,SUBCAT,5,Hipotensao,I95-I99 Outros transtornos do aparelho circulatório,IX. Doenças do aparelho circulatório
I951,Hipotensao ortostatica,SUBCAT,5,Hipotensao,I95-I99 Outros transtornos do aparelho circulatório,IX. Doenças do aparelho circulatório
I952,Hipotensao dev drogas,SUBCAT,5,Hipotensao,I95-I99 Outros transtornos do aparelho circulatório,IX. Doenças do aparelho circulatório
I958,Outr tipos de hipotensao,SUBCAT,5,Hipotensao,I95-I99 Outros transtornos do aparelho circulatório,IX. Doenças do aparelho circulatório
I959,Hipotensao NE,SUBCAT,5,Hipotensao,I95-I99 Outros transtornos do aparelho circulatório,IX. Doenças do aparelho circulatório
I97,Transt aparelho circulat subseq proced NCOP,CAT,5,Transt aparelho circulat subseq proced NCOP,I95-I99 Outros transtornos do aparelho circulatório,IX. Doenças do aparelho circulatório
I970,Sindr pos-cardiotomia,SUBCAT,5,Transt aparelho circulat subseq proced NCOP,I95-I99 Outros transtornos do aparelho circulatório,IX. Doenças do aparelho circulatório
I971,Outr disturb func subseq cirurgia cardiaca,SUBCAT,5,Transt aparelho circulat subseq proced NCOP,I95-I99 Outros transtornos do aparelho circulatório,IX. Doenças do aparelho circulatório
I972,Sindr do linfedema pos-mastectomia,SUBCAT,5,Transt aparelho circulat subseq proced NCOP,I95-I99 Outros transtornos do aparelho circulatório,IX. Doenças do aparelho circulatório
I978,Outr transt ap circulat subseq proced NCOP,SUBCAT,5,Transt aparelho circulat subseq proced NCOP,I95-I99 Outros transtornos do aparelho circulatório,IX. Doenças do aparelho circulatório
I979,Transt aparelho circulat subseq proced NE,SUBCAT,5,Transt aparelho circulat subseq proced NCOP,I95-I99 Outros transtornos do aparelho circulatório,IX. Doenças do aparelho circulatório
I98,Outr transt aparelho circulatorio doenc COP,CAT,5,Outr transt aparelho circulatorio doenc COP,I95-I99 Outros transtornos do aparelho circulatório,IX. Doenças do aparelho circulatório
I980,Sifilis cardiovascular,SUBCAT,5,Outr transt aparelho circulatorio doenc COP,I95-I99 Outros transtornos do aparelho circulatório,IX. Doenças do aparelho circulatório
I981,Transt cardiovasc outr doenc inf parasit COP,SUBCAT,5,Outr transt aparelho circulatorio doenc COP,I95-I99 Outros transtornos do aparelho circulatório,IX. Doenças do aparelho circulatório
I982,Varizes esofagianas em doenc COP,SUBCAT,5,Outr transt aparelho circulatorio doenc COP,I95-I99 Outros transtornos do aparelho circulatório,IX. Doenças do aparelho circulatório
I988,Outr transt espec ap circulat doenc COP,SUBCAT,5,Outr transt aparelho circulatorio doenc COP,I95-I99 Outros transtornos do aparelho circulatório,IX. Doenças do aparelho circulatório
I99,Outr transt do aparelho circulatorio e os NE,CAT,5,Outr transt do aparelho circulatorio e os NE,I95-I99 Outros transtornos do aparelho circulatório,IX. Doenças do aparelho circulatório
J00,Nasofaringite aguda,CAT,5,Nasofaringite aguda,J00-J06 Infecções agudas das vias aéreas superiores,X. Doenças do aparelho respiratório
J01,Sinusite aguda,CAT,5,Sinusite aguda,J00-J06 Infecções agudas das vias aéreas superiores,X. Doenças do aparelho respiratório
J010,Sinusite maxilar aguda,SUBCAT,5,Sinusite aguda,J00-J06 Infecções agudas das vias aéreas superiores,X. Doenças do aparelho respiratório
J011,Sinusite frontal aguda,SUBCAT,5,Sinusite aguda,J00-J06 Infecções agudas das vias aéreas superiores,X. Doenças do aparelho respiratório
J012,Sinusite etmoidal aguda,SUBCAT,5,Sinusite aguda,J00-J06 Infecções agudas das vias aéreas superiores,X. Doenças do aparelho respiratório
J013,Sinusite esfenoidal aguda,SUBCAT,5,Sinusite aguda,J00-J06 Infecções agudas das vias aéreas superiores,X. Doenças do aparelho respiratório
J014,Pansinusite aguda,SUBCAT,5,Sinusite aguda,J00-J06 Infecções agudas das vias aéreas superiores,X. Doenças do aparelho respiratório
J018,Outr sinusites agudas,SUBCAT,5,Sinusite aguda,J00-J06 Infecções agudas das vias aéreas superiores,X. Doenças do aparelho respiratório
J019,Sinusite aguda NE,SUBCAT,5,Sinusite aguda,J00-J06 Infecções agudas das vias aéreas superiores,X. Doenças do aparelho respiratório
J02,Faringite aguda,CAT,5,Faringite aguda,J00-J06 Infecções agudas das vias aéreas superiores,X. Doenças do aparelho respiratório
J020,Faringite estreptococica,SUBCAT,5,Faringite aguda,J00-J06 Infecções agudas das vias aéreas superiores,X. Doenças do aparelho respiratório
J028,Faringite aguda dev outr microorg espec,SUBCAT,5,Faringite aguda,J00-J06 Infecções agudas das vias aéreas superiores,X. Doenças do aparelho respiratório
